id;city;lon;lat
010565616042;Raa-Besenbek;9,597611;53,747963
010565616045;Seesterm�he;9,56628;53,704049
010565616046;Seeth-Ekholt;9,732775;53,742874
010565636006;Bokel;9,733886;53,864194
010565636010;Brande-H�rnerkirchen;9,705145;53,855084
010565636038;Osterhorn;9,698588;53,868679
010565636051;Westerhorn;9,681996;53,857844
010565660003;Bevern;9,771042;53,755719
010565660004;Bilsen;9,87625;53,769901
010565660008;Bokholt-Hanredder;9,735213;53,787955
010565660011;Bullenkuhlen;9,751552;53,768586
010565660014;Ellerhoop;9,770845;53,727623
010565660017;Gro� Offenseth-Aspern;9,73009;53,817783
010565660022;Heede;9,802298;53,783499
010565660026;Hemdingen;9,836865;53,762926
010565660034;Langeln;9,85372;53,795088
010565660035;Lutzhorn;9,776787;53,825517
010565687009;Borstel-Hohenraden;9,824303;53,697872
010565687013;Ellerbek;9,869621;53,657209
010565687032;Kummerfeld;9,791036;53,691612
010565687040;Prisdorf;9,761607;53,678151
010565687047;Tangstedt;9,849699;53,679247
010565690001;Appen;9,742691;53,659806
010565690016;Gro� Nordende;9,649515;53,70207
010565690019;Haselau;9,623636;53,660647
010565690020;Haseldorf;9,598383;53,635207
010565690023;Heidgraben;9,685133;53,705801
010565690024;Heist;9,656576;53,654819
010565690027;Hetlingen;9,63544;53,607678
010565690028;Holm;9,671854;53,622062
010565690036;Moorrege;9,659074;53,668054
010565690037;Neuendeich;9,600258;53,676281
010570001001;Ascheberg (Holstein);10,341108;54,151075
010570008008;B�neb�ttel;10,0593;54,079505
010570009009;B�sdorf;10,490762;54,14153
010570057057;Pl�n, Stadt;10,416369;54,158288
010570062062;Preetz, Stadt;10,280512;54,231866
010570091091;Schwentinental, Stadt;10,238223;54,282411
010575727004;Behrensdorf (Ostsee);10,603736;54,346515
010575727007;Blekendorf;10,650894;54,276459
010575727013;Dannau;10,541132;54,240905
010575727021;Giekau;10,506159;54,317441
010575727026;Helmstorf;10,593478;54,286644
010575727027;H�gsdorf;10,615055;54,251994
010575727029;Hohenfelde;10,496402;54,370898
010575727030;Hohwacht (Ostsee);10,67371;54,320922
